traeger,einrichtung,ort,plz,system
DRK Düsseldorf,Seniorenzentrum Marien Campus,Duisburg,47053,Vivendi
DRK Düsseldorf,Seniorenzentrum Grafental,Düsseldorf,40237,Vivendi
DRK Düsseldorf,Seniorenzentrum Neumühl,Duisburg,47167,Vivendi
DRK Düsseldorf,Seniorenzentrum Wersten,Düsseldorf,40591,Vivendi
Haus Simeon gemeinnützige Gesellschaft für Pflegeeinrichtungen mbH,Haus Simeon,Emsdetten,48282,Vivendi
Haus Simeon gemeinnützige Gesellschaft für Pflegeeinrichtungen mbH,Altenwohnheim Kastanienhof,Emsdetten,48282,Vivendi
Haus Simeon gemeinnützige Gesellschaft für Pflegeeinrichtungen mbH,Altenwohnheim Sonnenhof,Emsdetten,48282,Vivendi
Haus Simeon gemeinnützige Gesellschaft für Pflegeeinrichtungen mbH,St.Josef-Stift,Emsdetten,48282,Vivendi
Rheinischer Verein,Petrusheim,Weeze,47652,Senso
Rheinischer Verein,Clemens Josef Haus,Blankenheim,53945,Senso
Rheinischer Verein,Seniorenhausgemeinschaften St. Josef und Aegidius,Blankenheim,53945,Senso
Caritas Neuss,Hildegundis von Meer,Meerbusch,40670,Senso
Caritas Neuss,St. Aldegundis,Neuss,41564,Senso
Rummelsberger Diakonie,Mühlhofer Stift,Bayreuth,95447,Senso
Rummelsberger Diakonie,Seniorenzentrum Gottfried Seiler,Feucht,90537,Senso
Rummelsberger Diakonie,Alten- und Pflegeheim Lenzheim,Garmisch-Partenkirchen,82467,Senso
Rummelsberger Diakonie,Diakonisches Seniorenzentrum Haus Lehmgruben,Marktheidenfeld,97828,Senso
Rummelsberger Diakonie,Hermann-Bezzel-Haus,Nürnberg,90461,Senso
Rummelsberger Diakonie,Diakonisches Sozialzentrum Rehau,Rehau,95111,Senso
Rummelsberger Diakonie,Rummelsberger Stift Starnberg,Starnberg,82319,Senso
Rummelsberger Diakonie,Steigenberger Hof,Penzberg,82377,Senso
Rummelsberger Diakonie,Stephanushaus,Schwarzenbruck,90592,Senso
Rummelsberger Diakonie,Rummelsberger Stift Leipheim,Leipheim,89340,Senso
Rummelsberger Diakonie,Diakoniezentrum Schertlinhaus Burtenbach,Burtenbach,89349,Senso
Rummelsberger Diakonie,Rummelsberger Stift St. Lorenz,Nürnberg,90402,Senso
Rummelsberger Diakonie,Alten- und Pflegeheim Haus Heimweg,Ansbach,91522,Senso
Rummelsberger Diakonie,Rummelsberger Stift Söcking,Starnberg,82319,Senso
Rummelsberger Diakonie,St. Elisabeth,Rommerskirchen,41469,Senso
Caritas Neuss,St. Josef,Dormagen,14542,Senso
Caritas Neuss,St. Theresienheim,Neuss,41466,Senso
Caritas Steinfurt,Ferdinand-Tigges-Haus,Ochtrup,48607,Vivendi
Caritas Steinfurt,St. Gertrudis Haus,Horstmar,48612,Vivendi
AP Pflegedienste,Seniorenzentrum Im Biebertal,Menden,58710,Vivendi
AP Pflegedienste,Seniorenzentrum Am Alten Rathaus,Witten,58456,Vivendi
AP Pflegedienste,Seniorenzentrum Brechtener Heide,Dortmund-Brechten,44339,Vivendi
AP Pflegedienste,Seniorenzentrum Linscheider Bach,Altena,58762,Vivendi
Gemeinnützige Gesellschaft der Franziskanerinnen zu Olpe,GFO Zentrum Langenfeld Wohnen & Pflege St. Katharina,Langenfeld,40764,Vivendi
ASO,Haus am Mühlenbach (ASO),Oberhausen,46119,Vivendi
Aiutanda,Aiutanda,Detmold,32758,Vivendi
Evangelische Heimstiftung,Martin Haug Stift,Freudenstadt,72250,Senso
Perfekta Pflege,Mein Zuhause Nienburg,Nienburg,31582,Vivendi
stadt.mission.mensch gemeinnützige GmbH,Bismarck Seniorenstift,Hamburg,,Senso
,Altenheim am Tiergarten Karl-Bednarz-Haus,Krefeld,47800,Vivendi
,Altenheim am Tiergarten Günter-Böhringer-Haus,Krefeld,47800,Vivendi
Vereinigte Hospitien Trier,Helenenhaus,Trier,54290,Vivendi
Landkreis Lörrach,Pflegeheim Haus an der Wiese,Hausen im Wiesental,79688,Vivendi
St. Hildegardishaus gGmbH Jugend- und Behindertenhilfe,St. Hildegardishaus Seniorenwohnen im Kloster Bingen,Bingen am Rhein,55411,Vivendi
Bildungs- und Pflegeheim St. Martin,Seniorenzentrum St. Josef,Düngenheim,56294,Vivendi
Das Rauhe Haus,Haus Weinberg,Hamburg,22111,Senso
Stiftung Hospital zum Heiligen Geist,Von Broichhausen Stift,Kempen,47906,Vivendi
Diakonie Vohwinkel,,Wuppertal,,Vivendi
