cluster_id,row_id,who_reached,phone,campaign_name,reason_core,reason_free_text,outcome_free_text,confidence,evidence_json
0,e2a2c66650eca4579eef5cec43b65017822cf70e,,+4924175083300,Dexter  PLZ 4-9,time constraints,time constraints; agreed to check link,invitation to meeting to be sent,0.86,"{""quote"": ""Ich habe nicht so viel Zeit, sehr leid.""}"
0,05b9ce718933a2febad16bbd8e1ed3cc77e67e66,,+4977189868322,Dexter  PLZ 4-9,timing,timing; implementing own system,callback requested,0.9,"{""quote"": ""in der Umsetzungsphase wird aber noch mindestens drei Monate dauern.""}"
0,18b806a80f02a32387a0e6cd7a5ead6801a7720d,,+4922463110,Dexter  PLZ 4-9,timing,timing; needs team discussion,callback requested,0.9,"{""quote"": ""im Herbst noch mal reinklingen""}"
0,24e6d3c0bc87448e0434f409db2723da1fbd8106,,+4923849300,DEXTER  PLZ 4+5,timing,timing; on vacation,callback in november,0.5,"{""quote"": ""Dann melde ich mich im November nochmal.""}"
0,26507d7fdd13f5f633f0d8d7edeb4da5a805911b,,+4962167191190,Dexter  PLZ 4-9,timing,timing; busy with large projects,callback scheduled for 2026,0.9,"{""quote"": ""ich kann mich gerne im Jahr 2026 nochmal melden""}"
0,273695a7ca6eb9d8b6a6a956d86727018d98388b,,+49206497050,Dexter  PLZ 4-9,timing,timing; undergoing program reorganization,callback requested,0.9,"{""quote"": ""Wir sind aktuell dabei, unser Programm umzustellen.""}"
0,32f096e89cf00b5931fbfb16651d545cce14375b,,+4952657370,DEXTER  PLZ 3+6,timing,timing; after vacation,callback scheduled,0.9,"{""quote"": ""Dann melde ich mich am Mittwoch um elf Uhr bei Ihnen.""}"
0,375fed8054688dfdac1322163379b57e1014e60c,,+49725196550,Dexter  PLZ 4-9,timing,timing; busy schedule,callback requested,0.9,"{""quote"": ""Sie können gerne mal vielleicht in vier, sechs Wochen nochmal anrufen.""}"
0,67ec9d79a937d1b5c9a2605d582f75ed5c1814d2,,+49665591670,DEXTER  PLZ 3+6,timing,timing; on vacation,callback requested,0.9,"{""quote"": ""Rufen Sie bitte in der Folgewoche an, weil ich nächste Woche im Urlaub bin.""}"
0,6cb582e1e54ac80e1b5f4e7151b69804d88017a5,,+4936076993167,DEXTER  PLZ 3+6,timing,timing; other projects,no sale,0.9,"{""quote"": ""Aber aktuell habe ich hier andere Großprojekte und da möchte ich das aktuell nicht.""}"
0,70c015f657a749154d92d9c1353917b32bb53174,,+493846420161,Dexter PLZ 1-2-8,timing,timing; busy; end of month,callback requested,0.9,"{""quote"": ""Wir haben gerade sehr viel zu tun und es ist Monatsende.""}"
0,77c0ebab3afc24d94778c48b74374ab812b60f64,,+498954714125,Dexter PLZ 1-2-8,timing,timing; digitalization still in progress,email will be sent,0.9,"{""quote"": ""es dauert bei uns noch ein bisschen, digitalisierung""}"
